IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt0076590,Rabid,movie,1977,Canada,"Horror, Sci-Fi",2 wins.,New Concorde Home Entertainment,R,N/A,6.3,"14,040"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt6159492,Nightmare Time,movie,2016,USA,"Comedy, Horror",N/A,N/A,N/A,N/A,N/A,N/A
tt0105121,The People Under the Stairs,movie,1991,USA,"Comedy, Horror, Mystery, Thriller",2 wins & 7 nominations.,Universal Pictures,R,N/A,6.4,"29,098"
tt6548228,Castle Rock,series,2018–,USA,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",N/A,NA,TV-MA,N/A,7.7,"27,867"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1074206,The Passage,series,2019,USA,"Action, Adventure, Drama, Fantasy, Horror, Sci-Fi, Thriller",N/A,NA,TV-14,N/A,7.4,"8,854"
tt6763664,The Haunting of Hill House,series,2018–,USA,"Drama, Horror, Mystery, Thriller",N/A,NA,TV-MA,N/A,8.7,"127,570"
tt8250240,Magical Girl Site,series,2018–,Japan,"Animation, Action, Drama, Fantasy, Horror",N/A,NA,Not Rated,N/A,5.3,146
tt6905686,Lovecraft Country,series,2019–,USA,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",N/A,NA,N/A,N/A,N/A,N/A
tt0489974,Carnival Row,series,2019–,USA,"Crime, Drama, Fantasy, Mystery, Thriller",N/A,NA,TV-MA,N/A,8.0,"25,409"
tt0084745,Swamp Thing,movie,1982,USA,"Horror, Sci-Fi",1 nomination.,Nelson Entertainment,PG,50,5.4,"12,083"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt5780592,Locke and Key,series,2016–,USA,Fantasy,N/A,NA,N/A,N/A,N/A,N/A
tt0100260,Nightbreed,movie,1990,"UK, Canada, USA","Action, Fantasy, Horror",7 wins & 4 nominations.,WARNER BROTHERS PICTURES,R,40,6.6,"17,963"
